ChannelName,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,is_safety_related,compound_score,sentiment
NBC 23 RGV,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
https://t.co/yZXtRpPJxW",2025-01-07T00:00:19.000Z,0.0,0.0,1.0,87.0,True,0.4215,positive
ABC22 & FOX44,"Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app.",2025-01-06T23:56:12.000Z,1.0,0.0,0.0,0.0,True,0.0772,positive
PHL17,Uber and Lyft to offer driverless rideshare cars https://t.co/KVKR5eVol9,2025-01-06T23:45:22.000Z,0.0,0.0,0.0,76.0,True,0.0,neutral
KX News,Uber and Lyft to offer driverless rideshare cars https://t.co/bSbv8NbKRG,2025-01-06T23:33:31.000Z,0.0,0.0,0.0,182.0,True,0.0,neutral
KRQE News 13,Uber and Lyft to offer driverless rideshare cars https://t.co/ye8sn5udGa,2025-01-06T23:27:24.000Z,0.0,0.0,2.0,827.0,True,0.0,neutral
NewsNation,"Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app.",2025-01-06T23:00:48.000Z,17.0,3.0,5.0,0.0,True,0.0772,positive
NewsNation,"In the coming months, Uber and Lyft customers in Atlanta, Georgia, and Austin, Texas, will be able to hail driverless rideshare cars via the respective apps. Nancy Loo reports live from a driverless car in Los Angeles, California. 

#Uber #Lyft #Tech",2025-01-06T18:32:06.000Z,13.0,5.0,3.0,475.0,True,0.4767,positive
austin baker,"@Uber @UberEats @Uber_Support 
How great that my wife and coworkers working at the hospital waited for two hours for their food from uber eats to be delivered and their delivery driver couldn’t pull himself away from The Magic City strip club in Atlanta to get their order. https://t.co/O19HvAQV8F",2025-01-04T04:45:12.000Z,0.0,0.0,1.0,0.0,True,0.6249,positive
Atlanta News First ,"MARTA’s Garnett Station was shut down down Friday morning due to an “emergency situation,” according to the transportation authority.

Several fire trucks and at least one ambulance were seen at the station. The circumstances of the incident are currently unknown.

The situation was cleared at around 7 a.m. Bus shuttles were available at the Oakland City, West End, Garnett and Five Points stations, but have since been discontinued.

To compensate for the disruption to service, the transportation service is offering an $8 voucher for Uber or Lyft rides.

This is a developing story. Check back with Atlanta News First as we learn more.

https://www.atlantanewsfirst.com/2024/12/27/garnett-station-shut-down-after-emergency-situation-marta-says/

#atlanta #atlantanewsfirst #atlantanews #georgia #georgianews #atlantaweather #marta",2024-12-27T15:14:41.000Z,24.0,0.0,0.0,721.0,True,-0.5574,negative
5NEWS,"Chimise Awoyinka, her nephew and volunteers assembled the care packages and wrapped presents to help deliver hope to children across Atlanta. https://t.co/4ejOAI20AR",2024-12-26T12:00:02.000Z,0.0,0.0,0.0,663.0,True,0.8316,positive
5NEWS,"Chimise Awoyinka, her nephew and volunteers assembled the care packages and wrapped presents to help deliver hope to children across Atlanta.",2024-12-26T12:00:02.000Z,13.0,1.0,0.0,0.0,True,0.8316,positive
KYTX CBS19,"HEARTWARMING ❤️ | Chimise Awoyinka, her nephew and volunteers assembled the care packages and wrapped presents to help deliver hope to children.

 https://t.co/tAT0e1AABx",2024-12-26T00:00:10.000Z,0.0,0.0,0.0,123.0,True,0.9124,positive
KYTX CBS19,"HEARTWARMING ❤️ | Chimise Awoyinka, her nephew and volunteers assembled the care packages and wrapped presents to help deliver hope to children.",2024-12-26T00:00:07.000Z,1.0,0.0,0.0,0.0,True,0.9124,positive
11Alive,"HEARTWARMING ❤️ | Chimise Awoyinka, her nephew and volunteers assembled the care packages and wrapped presents to help deliver hope to children across Atlanta.",2024-12-25T01:30:11.000Z,527.0,29.0,37.0,0.0,True,0.9124,positive
11Alive,A metro Atlanta Uber driver is using her earnings to buy gifts and create care packages for kids impacted by incarceration.,2024-12-24T04:59:13.000Z,16.0,0.0,0.0,506.0,True,0.6486,positive
11Alive,Traveling through ride-share with children this holiday season just got a little easier for Atlanta families.,2024-12-05T18:30:01.000Z,11.0,0.0,1.0,0.0,True,0.684,positive
Atlanta News First,"“Why is the rideshare experience so bad at Atlanta’s airport,” one city leader asked.  https://t.co/gUZbQhqjNF",2024-11-23T03:31:01.000Z,2.0,0.0,2.0,912.0,True,-0.6696,negative
Atlanta News First,"“Why is the rideshare experience so bad at Atlanta’s airport,” one city leader asked.",2024-11-23T03:31:00.000Z,9.0,4.0,11.0,0.0,True,-0.6696,negative
